time,verdict,persons,helmet_ratio,conf,box,head,detector,held,image
2026-09-04 13:17:57,미착용,1,0.000,0.65,3-210-896-719,box,dnn,Y,/root/vibe/ex1/logs/helmet_0904_131502/131757_bad.jpg
2026-09-04 13:18:01,미착용,1,0.000,0.68,17-253-1051-720,box,dnn,Y,/root/vibe/ex1/logs/helmet_0904_131502/131801_bad.jpg
2026-09-04 13:18:04,미착용,1,0.000,0.61,9-239-913-717,box,dnn,Y,/root/vibe/ex1/logs/helmet_0904_131502/131804_bad.jpg
2026-09-04 13:18:10,미착용,1,0.000,0.65,11-247-941-718,box,dnn,Y,/root/vibe/ex1/logs/helmet_0904_131502/131810_bad.jpg
2026-09-04 13:18:17,미착용,1,0.000,0.76,6-249-938-718,box,dnn,Y,/root/vibe/ex1/logs/helmet_0904_131502/131817_bad.jpg
2026-09-04 13:18:24,미착용,1,0.000,0.52,3-249-938-719,box,dnn,Y,/root/vibe/ex1/logs/helmet_0904_131502/131824_bad.jpg
2026-09-04 13:18:30,미착용,1,0.000,0.98,0-221-648-720,box,dnn,Y,/root/vibe/ex1/logs/helmet_0904_131502/131830_bad.jpg
2026-09-04 13:20:04,미착용,1,0.000,0.56,262-100-1244-714,box,dnn,Y,/root/vibe/ex1/logs/helmet_0904_131502/132004_bad.jpg
2026-09-04 13:20:08,미착용,1,0.000,1.00,0-60-732-717,box,dnn,Y,/root/vibe/ex1/logs/helmet_0904_131502/132008_bad.jpg
2026-09-04 13:23:34,미착용,1,0.000,0.85,0-66-681-720,box,dnn,Y,/root/vibe/ex1/logs/helmet_0904_131502/132334_bad.jpg
2026-09-04 13:24:36,미착용,1,0.000,0.99,5-8-778-718,box,dnn,Y,/root/vibe/ex1/logs/helmet_0904_131502/132436_bad.jpg
2026-09-04 13:25:10,미착용,1,0.000,0.78,0-285-537-717,box,dnn,Y,/root/vibe/ex1/logs/helmet_0904_131502/132510_bad.jpg
2026-09-04 13:27:29,미착용,1,0.000,0.64,7-325-731-716,box,dnn,Y,/root/vibe/ex1/logs/helmet_0904_131502/132729_bad.jpg
2026-09-04 13:27:37,미착용,1,0.000,0.83,0-358-762-719,box,dnn,Y,/root/vibe/ex1/logs/helmet_0904_131502/132737_bad.jpg
